path	domain	latest_status_from_base	legacy_status_from_base	classification
.github/scripts/assert-auth-entry-flow.py	identity-auth	A		CAPABILITY_MAPPED
.github/scripts/assert-bot-mark-motion.py	ci-cd-validation	A		CAPABILITY_MAPPED
.github/scripts/assert-electron-feature-host-bridge.sh	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/scripts/assert-fabushi-desktop-architecture.py	ci-cd-validation	A		CAPABILITY_MAPPED
.github/scripts/assert-feature-command-router-coverage.py	ci-cd-validation	A	A	CAPABILITY_MAPPED
.github/scripts/assert-grok-bot-electron-migration.py	ci-cd-validation		A	CAPABILITY_MAPPED
.github/scripts/assert-native-capability-semantics.py	ci-cd-validation	A		CAPABILITY_MAPPED
.github/scripts/assert-native-desktop-edge-parity.py	ci-cd-validation	A		CAPABILITY_MAPPED
.github/scripts/assert-native-electron-canonical.sh	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/scripts/assert-product-ui-contracts.py	ci-cd-validation	A		CAPABILITY_MAPPED
.github/scripts/build-offline-asr-engine.mjs	offline-asr	A		CAPABILITY_MAPPED
.github/scripts/check-publish-cd-release.sh	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/scripts/deploy-auth-provider-bridge.sh	identity-auth	A		CAPABILITY_MAPPED
.github/scripts/prepare-development-wrangler.py	ci-cd-validation	M		CAPABILITY_MAPPED
.github/workflows/auth-config-diagnostic.yml	identity-auth	A		CAPABILITY_MAPPED
.github/workflows/ci.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/deploy-miniapps-cloudflare.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/deploy-official-site-cloudflare.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/deploy-production.yml	ci-cd-validation	M		CAPABILITY_MAPPED
.github/workflows/electron-desktop.yml	ci-cd-validation	A	A	CAPABILITY_MAPPED
.github/workflows/host-fast-e2e.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/mahayana-cloud-marketplace-e2e.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/mahayana-staging-auth-repair.yml	identity-auth	A		CAPABILITY_MAPPED
.github/workflows/native-electron-release.yml	ci-cd-validation	A	A	CAPABILITY_MAPPED
.github/workflows/native-mobile.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/tauri-host-fast-checks.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/tauri-macos-app-store.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.github/workflows/tauri-macos-package.yml	ci-cd-validation	M	M	CAPABILITY_MAPPED
.gitignore	repository-other	M		CAPABILITY_MAPPED
ai-backend/package-lock.json	ai-backend	M		CAPABILITY_MAPPED
ai-backend/package.json	ai-backend	M		CAPABILITY_MAPPED
ai-backend/src/server.js	ai-backend	M		CAPABILITY_MAPPED
ai-backend/test/collaboration_api.test.js	messaging-collaboration	A		CAPABILITY_MAPPED
ai-backend/test/egress_api.test.js	ai-backend	A		CAPABILITY_MAPPED
ai-backend/test/profile_feedback_api.test.js	ai-backend	A		CAPABILITY_MAPPED
apps/fabushi-tauri/src-tauri/src/e2e.rs	retired-client	M		CAPABILITY_MAPPED
apps/fabushi-tauri/src-tauri/src/lib.rs	retired-client	M	M	CAPABILITY_MAPPED
contracts/automation/grok-bot-electron-migration.json	grok-derived-runtime		A	CAPABILITY_MAPPED
desktop/e2e/smoke.spec.ts	desktop-e2e	M	M	CAPABILITY_MAPPED
desktop/e2e/surfaces.spec.ts	desktop-e2e	A		CAPABILITY_MAPPED
desktop/electron/edge-ipc.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/host-process.cjs	electron-runtime	M		CAPABILITY_MAPPED
desktop/electron/mahayana-edge.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/main.cjs	electron-runtime	M	M	CAPABILITY_MAPPED
desktop/electron/native-capability-handlers.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/native-edge.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/offline-asr-engine.json	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/offline-asr.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/offline-asr.test.cjs	electron-runtime	A		CAPABILITY_MAPPED
desktop/electron/preload.cjs	electron-runtime	M		CAPABILITY_MAPPED
desktop/package-lock.json	repository-other	A	A	CAPABILITY_MAPPED
desktop/package.json	repository-other	M	M	CAPABILITY_MAPPED
desktop/playwright.config.ts	repository-other	M		CAPABILITY_MAPPED
desktop/scripts/stage-host.mjs	repository-other	M	M	CAPABILITY_MAPPED
desktop/src/css-modules.d.ts	desktop-renderer	A	A	CAPABILITY_MAPPED
desktop/src/edge/contracts/native-capabilities.ts	desktop-renderer	A		CAPABILITY_MAPPED
desktop/src/edge/ipc.ts	desktop-renderer	A		CAPABILITY_MAPPED
desktop/src/main.tsx	desktop-renderer	M	M	CAPABILITY_MAPPED
desktop/src/styles.css	desktop-renderer	D	D	CAPABILITY_MAPPED
desktop/tsconfig.json	repository-other	M	M	CAPABILITY_MAPPED
desktop/vite.config.ts	repository-other	M	M	CAPABILITY_MAPPED
docs/grok-bot-migration.md	grok-derived-runtime	D	M	CAPABILITY_MAPPED
fabushi/web/alipay-login-functions.js	identity-auth	M		CAPABILITY_MAPPED
fabushi/web/src/handlers/auth-provider-bridge.js	identity-auth	A		CAPABILITY_MAPPED
fabushi/web/src/handlers/verification.js	platform-web-worker	M		CAPABILITY_MAPPED
fabushi/web/src/routes/auth-routes.js	identity-auth	M		CAPABILITY_MAPPED
fabushi/web/src/utils/system-mail.js	platform-web-worker	A		CAPABILITY_MAPPED
fabushi/web/tests/auth-provider-bridge.test.js	identity-auth	A		CAPABILITY_MAPPED
fabushi/web/tests/system-mail.test.js	platform-web-worker	A		CAPABILITY_MAPPED
fabushi/web/wrangler.toml	platform-web-worker	M		CAPABILITY_MAPPED
frontend/apps/host/vite.config.ts	repository-other	M	M	CAPABILITY_MAPPED
frontend/apps/web/src/app/host/agent-workflow-panel.tsx	host-ui	M		CAPABILITY_MAPPED
frontend/apps/web/src/app/host/bot-mark.tsx	host-ui	M		CAPABILITY_MAPPED
frontend/apps/web/src/app/host/extension-studio.tsx	host-ui	M		CAPABILITY_MAPPED
frontend/apps/web/src/app/host/grok-bot-mark-engine.tsx	grok-derived-runtime	D		CAPABILITY_MAPPED
frontend/apps/web/src/app/host/group-chat-panel.tsx	host-ui	M	M	CAPABILITY_MAPPED
frontend/apps/web/src/app/host/host-client.tsx	host-ui	M	M	CAPABILITY_MAPPED
frontend/apps/web/src/app/host/host.module.css	host-ui	M	M	CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/agent-notifications.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/agent-utils.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/capability-provider.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/collaboration.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/error-trays.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/group-mentions.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/interactions.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/memory-store.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/native-desktop.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/fabushi-runtime/widget-interactions.ts	fabushi-runtime-web	A		CAPABILITY_MAPPED
frontend/apps/web/src/lib/grok-agent/agent-mode-guidance.d.ts	grok-derived-runtime	D		CAPABILITY_MAPPED
