status_source_to_main	path	previous_path	domain	decision
D	.DS_Store		repository-other	SOURCE_BETTER_REVIEW
A	.agent/skills/fabushi-project-governance/SKILL.md		agent-plugin-governance	MAIN_HAS
A	.agent/skills/fabushi-project-governance/agents/openai.yaml		agent-plugin-governance	MAIN_HAS
A	.agent/skills/fabushi-project-governance/references/project-folder-standard.md		agent-plugin-governance	MAIN_HAS
A	.agent/skills/fabushi-project-governance/references/task-lifecycle.md		agent-plugin-governance	MAIN_HAS
M	.github/BRANCH_PROTECTION.md		documentation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/assert-auth-entry-flow.py		identity-auth	MAIN_HAS
A	.github/scripts/assert-bot-mark-motion.py		ci-cd-validation	MAIN_HAS
M	.github/scripts/assert-electron-feature-host-bridge.sh		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/assert-fabushi-desktop-architecture.py		ci-cd-validation	MAIN_HAS
D	.github/scripts/assert-grok-bot-electron-migration.py		ci-cd-validation	SOURCE_BETTER_REVIEW
A	.github/scripts/assert-native-capability-semantics.py		ci-cd-validation	MAIN_HAS
A	.github/scripts/assert-native-desktop-edge-parity.py		ci-cd-validation	MAIN_HAS
M	.github/scripts/assert-native-electron-canonical.sh		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/assert-product-ui-contracts.py		ci-cd-validation	MAIN_HAS
D	.github/scripts/assert-tauri-canonical.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
A	.github/scripts/assert-worker-security-secrets.sh		ci-cd-validation	MAIN_HAS
D	.github/scripts/build-desktop-cli.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
D	.github/scripts/build-mahayana-desktop-bundle.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
A	.github/scripts/build-offline-asr-engine.mjs		offline-asr	MAIN_HAS
M	.github/scripts/check-publish-cd-release.sh		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/deploy-auth-provider-bridge.sh		identity-auth	MAIN_HAS
D	.github/scripts/fix-macos-bundled-dylibs.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
A	.github/scripts/install-electron-macos-hot-update.sh		ci-cd-validation	MAIN_HAS
D	.github/scripts/native-install-smoke.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
D	.github/scripts/package-desktop-linux.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
M	.github/scripts/prepare-development-wrangler.py		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/refactor-platform-worker-phase3.py		ci-cd-validation	MAIN_HAS
M	.github/scripts/run-wrangler-d1-migrations.sh		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/scripts/upload-app-store-connect.sh		ci-cd-validation	MAIN_HAS
D	.github/scripts/upload-macos-app-store.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
D	.github/scripts/upload-tauri-macos-app-store.sh		ci-cd-validation	SOURCE_BETTER_REVIEW
A	.github/workflows/apple-store-delivery.yml		ci-cd-validation	MAIN_HAS
A	.github/workflows/auth-config-diagnostic.yml		identity-auth	MAIN_HAS
M	.github/workflows/automerge.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
M	.github/workflows/ci.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/computer-control-security.yml		computer-control	MAIN_HAS
M	.github/workflows/deploy-production.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
M	.github/workflows/electron-desktop.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/electron-macos-hot-package.yml		ci-cd-validation	MAIN_HAS
A	.github/workflows/fabushi-pay-production.yml		ci-cd-validation	MAIN_HAS
M	.github/workflows/global-dharma-rust.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/google-play-delivery.yml		ci-cd-validation	MAIN_HAS
M	.github/workflows/mahayana-fast-checks.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/mahayana-staging-auth-repair.yml		identity-auth	MAIN_HAS
A	.github/workflows/messaging-product-gate.yml		ci-cd-validation	MAIN_HAS
A	.github/workflows/messaging-rust.yml		ci-cd-validation	MAIN_HAS
D	.github/workflows/migration-surface-contract.yml		ci-cd-validation	SOURCE_BETTER_REVIEW
D	.github/workflows/mobile-tauri.yml		ci-cd-validation	SOURCE_BETTER_REVIEW
M	.github/workflows/native-electron-release.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/native-mobile-catchall.yml		ci-cd-validation	MAIN_HAS
M	.github/workflows/native-mobile.yml		ci-cd-validation	MAIN_SUPERSEDES_REVIEW
A	.github/workflows/platform-control-plane.yml		ci-cd-validation	MAIN_HAS
A	.github/workflows/platform-worker-refactor-phase3.yml		ci-cd-validation	MAIN_HAS
A	.github/workflows/project-portfolio-governance.yml		ci-cd-validation	MAIN_HAS
